video,turn_index,start,end,topic
TV-20230214-2104-4200.webl.h264,12,347.188,369.569,19
TV-20230214-2104-4200.webl.h264,14,375.274,400.482,155
TV-20230214-2104-4200.webl.h264,16,406.393,418.567,19
TV-20230214-2104-4200.webl.h264,17,420.68,503.322,19
TV-20230214-2104-4200.webl.h264,18,504.853,517.501,77
TV-20230214-2104-4200.webl.h264,19,519.461,536.789,6
TV-20230214-2104-4200.webl.h264,20,537.379,559.756,77
TV-20230214-2104-4200.webl.h264,21,561.304,578.862,-1
TV-20230214-2104-4200.webl.h264,22,579.377,588.95,135
TV-20230214-2104-4200.webl.h264,23,588.98,602.035,29
TV-20230214-2104-4200.webl.h264,24,602.925,617.87,77
TV-20230214-2104-4200.webl.h264,25,619.68,640.546,-1
TV-20230214-2104-4200.webl.h264,26,642.379,655.3530000000001,-1
TV-20230214-2104-4200.webl.h264,27,656.123,669.817,-1
TV-20230214-2104-4200.webl.h264,28,670.587,684.842,-1
TV-20230214-2104-4200.webl.h264,29,684.872,697.317,77
TV-20230214-2104-4200.webl.h264,31,706.024,717.8050000000001,29
TV-20230214-2104-4200.webl.h264,32,718.375,728.212,77
TV-20230214-2104-4200.webl.h264,33,728.242,744.309,-1
TV-20230214-2104-4200.webl.h264,35,750.612,839.707,141
TV-20230214-2104-4200.webl.h264,36,841.07,867.513,1
TV-20230214-2104-4200.webl.h264,37,890.811,909.252,53
TV-20230110-2021-4400.webl.h264,1,18.709,44.969,137
TV-20230110-2021-4400.webl.h264,2,46.545,87.443,0
TV-20230110-2021-4400.webl.h264,3,88.692,106.693,0
TV-20230110-2021-4400.webl.h264,4,107.697,149.94500000000002,-1
TV-20230110-2021-4400.webl.h264,6,157.083,193.851,137
TV-20230110-2021-4400.webl.h264,7,195.436,222.025,88
TV-20230110-2021-4400.webl.h264,8,223.474,240.34400000000002,88
TV-20230110-2021-4400.webl.h264,9,241.88,258.283,-1
TV-20230110-2021-4400.webl.h264,11,262.456,276.221,-1
TV-20230110-2021-4400.webl.h264,13,286.813,301.028,23
TV-20230110-2021-4400.webl.h264,14,301.078,313.012,88
TV-20230110-2021-4400.webl.h264,15,314.372,340.745,84
TV-20230110-2021-4400.webl.h264,17,350.857,372.019,84
TV-20230110-2021-4400.webl.h264,18,372.689,394.995,62
