Peter Seeberger	Q2078286
Harold St. John	Q2840308
Reinhard Marx	Q43930
Hardy Krüger	Q77342
Al Capone	Q80048
Abdrabbuh Mansur Hadi	Q57480
Getúlio Vargas	Q156844
Dmitry Medvedev	Q23530
Saint Matthias	Q44020
William Kirby (entomologist)	Q544651
Willi Hennig	Q57999
Janine Wissler	Q1682774
Tony Trabert	Q54686
Robert Lewandowski	Q151269
Corentin Tolisso	Q15406583
Leroy Sané	Q16499882
Julian Nagelsmann	Q21226404
Elise Jenny Baumgartel	Q23915450
Bastian Oczipka	Q524589
Max Kruse	Q129013
Geraldo (bandleader)	Q1510065
Lara Malsiner	Q21648978
Kira Weidle	Q28771704
Ramona Siebenhofer	Q526764
Sofia Goggia	Q2297435
Andrej Lanišek	Q502944
Halvor Birkeland	Q4978655
Swan Lake	Q199786
António Costa	Q610788
Rui Rio	Q7378729
Sergio Mattarella	Q3956186
Rafael Nadal	Q10132
Franco Albrecht	Q29650327
Francesco Friedrich	Q108156
Johannes Lochner	Q19411627
Kendrick Lamar	Q130798
Mary J. Blige	Q228909
Snoop Dogg	Q6096
Dr. Dre	Q6078
Bashar al-Assad	Q44329
Paul Wegener (Gauleiter)	Q97200
Klaus Lederer	Q1659501
Denise Herrmann	Q113753
Hanna Öberg	Q27999595
Sophia Schneider	Q102355576
Clemens Fuest	Q100749
Julia-Niharika Sen	Q1711801
Abraham Kazen	Q330149
Yair Lapid	Q1396120
Carl Ludwig Blume	Q76816
François Ozon	Q266535
Immanuel Kant	Q9312
Rainer Werner Fassbinder	Q44426
Natalie Geisenberger	Q63114
Johannes Ludwig	Q71595
Tobias Eberhard	Q673248
Kamila Valieva	Q59800543
Claudia Roth	Q75791
Alfred Gause	Q85089
Thomas Reichert	Q94821438
Johann Pistorius the Elder	Q95557
Sibylle Bassler	Q2280964
Rixa of Werle	Q537508
Elfriede Jelinek	Q47243
Bark (sound)	Q38681
Maaouya Ould Sid'Ahmed Taya	Q313662
Tyree Cooper	Q1522392
Al Sharpton	Q380433
George Floyd	Q95677819
Florian Henckel von Donnersmarck	Q57932
Bethmann family	Q321195
Heinz Wolf	Q65010506
Marietta Slomka	Q74177
Renate Künast	Q65128
Seth Moulton	Q18045052
Alex Moulton	Q715942
Marie-Agnes Strack-Zimmermann	Q15391841
Walter Scheel	Q2571
Sandy Mölling	Q77565
Georgios Sinas	Q113812
Still life	Q170571
Pina Bausch	Q155538
Ludwig Edinger	Q66524
Igor Stravinsky	Q7314
Lutz van der Horst	Q992081
Fabian Köster	Q29357285
Christopher Wehrmann	Q106433483
Rudolf Slánský	Q455948
Katrin Eigendorf	Q20724971
Maya civilization	Q28567
Maia Sandu	Q15071069
Archduchess Marie Valerie of Austria	Q234002
Valerie von Martens	Q88559
Dieter Hecking	Q73135
Lucien Muller	Q535013
Rainer Woelki	Q45201
Jörg Brase	Q64410211
Ali Khamenei	Q57336
Ali al-Ridha	Q25105
Omid Nouripour	Q71635
Luisa of Naples and Sicily	Q234941
Linus Straßer	Q18715441
Luke the Evangelist	Q128538
Ernst Strasser	Q79063
Anton Tremmel	Q61712320
Kim Kalicki	Q77974962
Empty Nest	Q130346
Meghan, Duchess of Sussex	Q3304418
Camilla, Duchess of Cornwall	Q152239
Franziska Giffey	Q19279839
Christian Sievers	Q1081910
Arthur Zimmermann	Q57910
Bernd Alois Zimmermann	Q312582
Colin Powell	Q150851
Hans Thewissen	Q6207591
Elmar Wepper	Q77569
Queen Silvia of Sweden	Q152308
Amy Gutmann	Q2481855
Wilhelm Isak, Ritter von Gutmann	Q18325075
Gunnar Myrdal	Q152452
Valerie Solanas	Q11093
Maybrit Illner	Q106548
Jochen Rindt	Q3234
Anno Domini	Q159791
Friedrich Karl Ginzel	Q113103
Aleksandr Maksimenko (footballer, born 1998)	Q27837127
Anders Fogh Rasmussen	Q46052
Ludwig Erhard	Q2496
Nicola Sturgeon	Q467112
Soheir Zaki	Q49476247
Thomas Klauser	Q582619
Stephanie Barrett	Q107297574
Steirische Harmonika	Q2341903
Antje Harvey	Q62881
Gundula Gause	Q1554650
Goliath Goli	Q15857819
Samia (moth)	Q1759132
Friedrich Schiller	Q22670
European windstorm	Q148942
Christiane Hoffmann	Q1082694
Klement Gottwald	Q296054
Karl Gorath	Q3813044
Vahid Asghari	Q7908627
Samanea saman	Q259500
Shahriyar Jamshidi	Q20051394
Lou (singer)	Q451310
Henning Radtke	Q968118
Lawsonia inermis	Q182448
Leonore Gewessler	Q64954602
Isabel de La Vega y Osorio	Q110422617
Alexander Zverev	Q13990552
Cameron Norrie	Q23668736
Tim Pütz	Q15133598
Dan Evans (tennis)	Q4847264
Jamie Murray	Q317820
Julia Taubitz	Q22338623
Melanie (singer)	Q157293
Daniela Alves Lima	Q4935345
Patrick Beckert	Q73322
Frank Ullrich	Q62639
Melli (disambiguation)	Q6813087
Wendelin Wiedeking	Q65614
Kent Nagano	Q819447
Barnaby (disambiguation)	Q808414
Heinz Wolff	Q5700908
Armin Laschet	Q78205
Walter Lübcke	Q2545434
Axel jump	Q791979
Agalumnus (Pauly-Wissowa)	Q19981875
Saint Barbara	Q192816
Hanna Herbst	Q66133411
Dunja Hayali	Q1265849
Navid Kermani	Q99728
André Wüstner	Q15734473
Svenja Jung	Q16739209
Corinna Miazga	Q40878850
Nicola Albrecht	Q23559633
Claude Monet	Q296
Peter Paul Rubens	Q5599
Caspar David Friedrich	Q104884
J. M. W. Turner	Q159758
Thomas de Maizière	Q57364
Hugo Banzer	Q269039
Shakuntala (play)	Q320594
Christoph Röckerath	Q15435153
Stern (magazine)	Q158322
Marcus Berrett	Q23063413
Mark Jones (footballer, born 1933)	Q735017
Gustav Stresemann	Q103955
Dieter Kronzucker	Q96478
Bettina Schausten	Q850034
Richard Kick	Q1617247
Cardinal (Catholic Church)	Q45722
Wilfried (singer)	Q86748
Benedict of Nursia	Q44265
Jürgen Erbacher	Q55225500
Philipp Kohlschreiber	Q77149
Roberto Bautista Agut	Q966542
Franz Krüger	Q568298
Sönke Möhring	Q91050
HMS Sibyl (P217)	Q1565359
Dieter Hallervorden	Q78006
Franz Josef Jung	Q57505
Heiko Maas	Q108447
Ernst Ulrich Deuker	Q474361
Horst Köhler	Q2542
Los Angeles Rams	Q337377
Olena Zelenska	Q59321885
Ulf-Jensen Röller	Q1229961
Antonio Panzeri	Q1055562
Eva Kaili	Q2420152
Sviatlana Tsikhanouskaya	Q97010473
George Clooney	Q23844
Brad Pitt	Q35332
Juan Pablo Varillas	Q23039577
Thomas Knorr	Q1491130
Jannik Kohlbacher	Q15820808
Max Schwarz	Q1913423
Willy Brandt	Q2514
Robert Kühner	Q2226482
Kevin Kühnert	Q43567875
Elisabeth Schmidt	Q1330260
Pervez Musharraf	Q40495
Cabinet Günther	Q30279918
Robert Gebhardt	Q1481038
André Breitenreiter	Q517257
Julian Korb	Q1712017
Ludwig van Beethoven	Q255
Practical joke	Q931092
Mayor (France)	Q382617
Rufus Thomas	Q1805782
Kamran Ghaderi	Q76901006
Harika Dronavalli	Q176002
Robert Malley	Q7347302
Peter Böhmer	Q110560714
2008 Atlantic hurricane season	Q756798
Michael Schade	Q74735
Yevgeny Prigozhin	Q20850503
Naomi Campbell	Q199369
Cindy Crawford	Q199801
Christoph Stölzl	Q1085958
Michelle Yeoh	Q214289
Colin Farrell	Q172035
Annette Hilsenbeck	Q90158848
Stefania Liberakakis	Q61696740
Bohdan Gonsior	Q3641576
Benjamin Daniel	Q107179987
Jake Sullivan	Q16730147
Friedrich Zimmermann	Q65529
Reinhard Bütikofer	Q31236
body shaming	Q63522120
Emily Büning	Q1337575
Thomas Walder	Q21547675
Ashleigh Barty	Q84056
Danielle Collins	Q17523802
Hui people	Q183573
